Date,Open,High,Low,Close,Adj Close,Volume
2019-03-25,11.620000,12.010000,10.920000,11.400000,11.112186,16759800
2019-04-01,11.490000,12.310000,11.390000,12.210000,11.901736,13683900
2019-04-08,12.140000,13.100000,11.950000,12.950000,12.623054,8649400
2019-04-15,12.880000,13.030000,12.560000,12.890000,12.564569,5620300
2019-04-22,12.920000,13.090000,12.210000,13.040000,12.710781,10988400
2019-04-29,13.100000,13.430000,8.820000,9.230000,8.996972,26910700
2019-05-06,9.080000,9.260000,8.200000,8.260000,8.051462,26741600
2019-05-13,8.150000,8.330000,7.810000,7.810000,7.612822,12687900
2019-05-20,7.760000,7.910000,6.610000,7.400000,7.292926,17191500
2019-05-27,7.380000,7.720000,6.980000,7.090000,6.987412,15285400
2019-06-03,7.090000,7.760000,6.990000,7.300000,7.194373,39436100
2019-06-10,7.100000,7.370000,6.520000,6.990000,6.888858,12810600
2019-06-17,6.960000,7.610000,6.890000,7.380000,7.273216,12184000
2019-06-24,7.390000,7.390000,6.610000,7.240000,7.135241,24566400
2019-07-01,7.350000,7.480000,6.360000,6.550000,6.455225,10671800
2019-07-08,6.650000,6.970000,5.450000,5.590000,5.509116,15780000
2019-07-15,5.640000,5.960000,5.060000,5.260000,5.183891,20607700
2019-07-22,5.270000,6.740000,5.150000,5.400000,5.321865,71511000
2019-07-29,5.400000,5.530000,4.750000,4.970000,4.898087,27308500
2019-08-05,4.860000,6.220000,4.520000,5.920000,5.834341,28336000
2019-08-12,5.850000,6.270000,5.690000,6.150000,6.061013,16871700
2019-08-19,6.220000,6.510000,5.960000,6.250000,6.159566,11534800
2019-08-26,6.360000,6.390000,4.550000,4.780000,4.780000,19675000
2019-09-02,4.680000,4.970000,4.330000,4.930000,4.930000,11571700
2019-09-09,4.980000,6.330000,4.970000,5.930000,5.930000,16932900
2019-09-16,5.900000,6.330000,5.630000,6.110000,6.110000,16180100
2019-09-23,6.040000,6.900000,5.830000,6.870000,6.870000,12730900
2019-09-30,6.860000,6.980000,6.180000,6.670000,6.670000,12771900
2019-10-07,6.560000,7.340000,6.400000,7.250000,7.250000,11630700
2019-10-14,7.300000,8.030000,7.000000,7.540000,7.540000,16953900
2019-10-21,7.630000,8.960000,7.620000,8.830000,8.830000,14299800
2019-10-28,8.830000,9.290000,7.780000,8.310000,8.310000,14953900
2019-11-04,8.430000,10.250000,7.990000,10.120000,10.120000,25002600
2019-11-11,9.560000,10.070000,9.060000,10.020000,10.020000,12020000
2019-11-18,10.020000,10.910000,9.930000,10.250000,10.250000,10043700
2019-11-25,10.260000,10.960000,10.240000,10.470000,10.470000,7643800
2019-12-02,10.520000,10.680000,9.530000,10.460000,10.460000,15384900
2019-12-09,10.450000,10.990000,10.340000,10.820000,10.820000,10664500
2019-12-16,10.940000,11.090000,9.710000,9.760000,9.760000,12482700
2019-12-23,9.770000,9.910000,9.220000,9.620000,9.620000,6832800
2019-12-30,9.620000,9.850000,9.090000,9.220000,9.220000,8269800
2020-01-06,9.090000,9.410000,8.890000,9.130000,9.130000,8917900
2020-01-13,9.120000,10.160000,8.960000,10.000000,10.000000,13151900
2020-01-20,10.000000,10.390000,9.970000,10.270000,10.270000,5814400
2020-01-27,10.120000,10.690000,9.980000,10.590000,10.590000,7265400
2020-02-03,10.610000,12.590000,10.500000,12.530000,12.530000,13753500
2020-02-10,12.570000,12.920000,12.190000,12.680000,12.680000,7858700
2020-02-17,12.660000,13.310000,12.210000,13.110000,13.110000,10116700
2020-02-24,12.610000,13.880000,9.150000,9.270000,9.270000,23377600
2020-03-02,9.100000,9.440000,7.430000,7.670000,7.670000,16749300
2020-03-09,7.000000,7.260000,4.800000,5.510000,5.510000,12970700
2020-03-16,4.820000,4.980000,2.090000,2.780000,2.780000,35883900
2020-03-23,2.840000,3.720000,2.400000,3.260000,3.260000,19182200
2020-03-30,3.320000,3.320000,2.250000,2.360000,2.360000,12395400
2020-04-06,2.490000,3.740000,2.480000,3.570000,3.570000,23701600
2020-04-13,3.570000,4.130000,3.230000,3.640000,3.640000,13688200
2020-04-20,3.520000,3.720000,3.240000,3.440000,3.440000,14108000
2020-04-27,3.450000,5.220000,3.430000,4.040000,4.040000,26380300
2020-05-04,3.880000,4.580000,3.660000,4.580000,4.580000,22141500
2020-05-11,4.520000,4.660000,3.670000,3.940000,3.940000,15060500
2020-05-18,4.130000,4.920000,4.120000,4.810000,4.810000,12818900
2020-05-25,5.120000,6.440000,5.050000,6.060000,6.060000,12850500
2020-06-01,6.120000,8.290000,6.050000,7.590000,7.590000,17786200
2020-06-08,8.000000,8.550000,6.330000,7.510000,7.510000,15505100
2020-06-15,7.070000,8.250000,6.930000,7.340000,7.340000,12422800
2020-06-22,7.300000,7.750000,6.820000,7.040000,7.040000,10990800
2020-06-29,6.980000,7.710000,6.730000,7.320000,7.320000,7767800
2020-07-06,7.590000,7.810000,7.040000,7.220000,7.220000,8271800
2020-07-13,7.240000,7.970000,6.780000,7.860000,7.860000,9352000
2020-07-20,7.720000,8.670000,7.590000,8.050000,8.050000,10884300
2020-07-27,8.040000,9.700000,7.960000,9.060000,9.060000,12292100
2020-08-03,9.330000,10.330000,9.140000,10.250000,10.250000,11928500
2020-08-10,10.250000,10.760000,10.160000,10.370000,10.370000,7419300
2020-08-17,10.370000,11.840000,10.170000,11.150000,11.150000,12291300
2020-08-24,11.270000,11.820000,10.830000,11.140000,11.140000,12290700
2020-08-31,11.170000,11.580000,10.670000,10.970000,10.970000,7540100
2020-09-07,10.760000,11.500000,10.330000,11.180000,11.180000,4397100
2020-09-14,11.280000,11.590000,10.520000,10.730000,10.730000,7142500
2020-09-21,10.370000,10.510000,9.060000,9.080000,9.080000,6758200
2020-09-28,9.330000,10.840000,9.330000,10.750000,10.750000,7666600
2020-10-05,10.890000,11.530000,10.620000,10.970000,10.970000,8794600
2020-10-12,11.020000,11.460000,10.350000,10.730000,10.730000,7558100
2020-10-19,10.810000,10.840000,9.610000,10.050000,10.050000,6322100
2020-10-26,9.870000,12.140000,9.450000,11.160000,11.160000,14587300
2020-11-02,11.330000,12.850000,11.110000,12.240000,12.240000,9415200
